path,is_dir,tags
/Volumes/iMac_HDD_Backup/Movies_library,True,
/Volumes/iMac_HDD_Backup/Movies_library/01_Inbox,True,
/Volumes/iMac_HDD_Backup/Movies_library/02_Library,True,
/Volumes/iMac_HDD_Backup/Movies_library/99_Extra,True,
/Volumes/iMac_HDD_Backup/Movies_library/README.pdf,False,
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/加勒比海盗,True,L:EN;t:魔幻;q:1080p;a:AC-3;s:favorite;c:H264/AVC;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰,True,t:movie;p:周星驰;s:favorite
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/教父,True,L:EN;t:movie;t:剧情;s:favorite;p:Al Pacino
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/魔戒,True,L:EN;t:魔幻;a:AC-3;s:favorite;c:H264/AVC;q:720p;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/黑客帝国,True,L:EN;a:AC-3;s:favorite;c:H264/AVC;q:720p;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/One.Flew.Over.the.Cuckoo's.Nest.1975.飞越疯人院.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv,False,L:EN;t:剧情;a:AC-3;s:favorite;c:H264/AVC;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/Spirited.Away.2001.千与千寻.国粤日音轨.双语字幕.HR-HDTV.AC3.1024X550.x264-人人影视制作.mkv,False,a:AC-3;s:favorite;c:H264/AVC;t:动画;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/Spirited.Away.2001.千与千寻.国粤日音轨.双语字幕.HR-HDTV.AC3.1024X550.x264-人人影视制作.mp4,False,t:movie;t:动画;s:favorite;p:宫崎骏;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/The.Good.the.Bad.and.the.Ugly.1966.黄金三镖客.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv,False,a:AC-3;c:H264/AVC;s:favorite;t:movie;t:剧情;L:EN
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/《手机》国产经典老电影 HD 国语彩色故事片 华语老电影📽.mp4,False,t:剧情;q:1080p;a:AAC;s:to-watch;L:CH;c:H264/AVC;p:冯小刚;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/《新龙门客栈》 New Dragon Gate Inn 港星实力派张曼玉梁家辉甄子丹 30年后再看依旧是武侠电影巅峰巨作！（张曼玉林青霞甄子丹）徐克监制 | Chinese Movie ENG.mp4,False,t:武侠;s:watched;q:1080p;a:AAC;L:CH;c:H264/AVC;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/《铁三角》真未删减 杜琪峰徐克林岭东古天乐任达华孙红雷林家栋林熙蕾林雪 2007年 - 高清粤语中字 - 杜琪峰徐克林岭东携手执导之作.mp4,False,t:黑帮;q:1080p;a:AAC;s:to-watch;L:CH;c:AV1;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/【超清蓝光4k全集】一口气看完冯小刚经典三部曲！｜【《没完没了》《不见不散》《甲方乙方》无删减修复版】.mp4,False,s:watched;t:剧情;q:1080p;a:AAC;L:CH;c:H264/AVC;p:冯小刚;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/低俗小说BD中英双字1280高清.rmvb,False,s:watched;t:剧情;a:AAC;c:H264/AVC;p:Quentin Tarantino;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/倚天屠龙记之魔教教主 The Kung Fu Cult Master 1993 BD720P 国粤双语 高清中字.mp4,False,a:AAC;c:H264/AVC;t:武侠;L:CH;s:favorite;p:金庸;p:王晶;p:李连杰;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/十二怒汉BD中英双字1280高清.rmvb,False,s:watched;t:movie;t:剧情;L:EN;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/大腕 2001 [蓝光高清无删减版] - 黑色幽默电影巅峰之作 - 冯小刚  葛优  关之琳  英达.mp4,False,t:剧情;L:CH;s:favorite;t:movie;a:AAC;c:H264/AVC;p:冯小刚;p: 葛优
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/无耻混蛋BD中英双字1280高清.rmvb,False,t:movie;p:Quentin Tarantino;t:剧情;L:EN;s:watched;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/李連杰×林青霞巔峰對決 史上最美東方不敗 新派武俠巔峰代表｜笑傲江湖II東方不敗 (國語) Swordsman II｜關之琳｜李嘉欣｜袁潔瑩｜國語中字｜8號電影院 HK Movie｜美亞.mp4,False,a:AAC;c:H264/AVC;q:1080p;t:武侠;L:CH;t:movie;p:李连杰;p:林青霞;s:favorite
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/範偉出獄後命運急轉，與宋佳、周冬雨捲入情感漩渦，人性的另一面被撕開！電影 範偉宋佳周冬雨.mp4,False,t:movie;t:剧情;p:范伟;L:CH;s:watched;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/肖申克的救赎BD中英双字1280高清.rmvb,False,t:movie;s:favorite;t:剧情;a:AAC;c:H264/AVC;L:EN
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/落水狗BD中英双字1280高清.rmvb,False,t:movie;p:Quentin Tarantino;t:剧情;L:EN;s:watched;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/被解救的姜戈BD中英双字1280高清.rmvb,False,t:movie;p:Quentin Tarantino;t:剧情;L:EN;s:watched;a:AAC;c:H264/AVC
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/西西里的美丽传说.未删减版BD中字1024高清.mkv,False,s:watched;t:movie;t:剧情;L:EN;a:AC-3;c:H264/AVC;p:Monica Bellucci
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/闻香识女人BD国英音轨中英双字1024高清.mkv,False,t:剧情;a:AC-3;s:favorite;c:H264/AVC;p:Al Pacino;t:movie
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/加勒比海盗/加勒比海盗：世界的尽头.720P.国英双语.BD中英双字.mkv,False,t:魔幻;s:favorite;
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/加勒比海盗/加勒比海盗：惊涛怪浪.720P.国英双语.BD中英双字.mkv,False,t:魔幻;s:favorite;
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/加勒比海盗/加勒比海盗：聚魂棺.720P.国英双语.BD中英双字.mkv,False,t:魔幻;s:favorite;
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/加勒比海盗/加勒比海盗：黑珍珠号的诅咒.720P.国英双语.BD中英双字.mkv,False,t:魔幻;s:favorite;
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/算死草,True,t:movie;t:剧情;p:周星驰;s:watched;q:720p;c:AV1
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/《九品芝麻官》高清修复1080P｜周星驰经典无删减粤语中字 [rkz0RZ0MmrI].mp4,False,a:AAC;c:H264/AVC;L:CH;t:movie;p:周星驰;s:favorite;q:720p
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/《喜剧之王》粤语版：周星驰×张柏芝×吴孟达｜跑了十年龙套，他把“演员”当成信仰——尹天仇从被嘲笑到被抛弃，却始终不肯向现实低头！ | 国产经典老电影 HD 国语彩色故事片 华语老电影📽.mp4,False,s:favorite;t:movie;p:周星驰;L:CH;a:AAC;c:H264/AVC;q:1080p
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/《审死官》周星驰×梅艳芳｜十个儿子接连夭折，妻子跪求他别再打官司，谁知命运却逼他再上法场！！ | 国产经典老电影 HD 国语彩色故事片 华语老电影📽.mp4,False,q:1080p;t:movie;p:周星驰;L:CH;s:favorite;a:AAC;c:AV1
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/《逃学威龙1》周星驰×吴孟达×张敏｜飞虎队长装学生潜入中学？周星星智斗军火集团，爆笑卧底大行动！！！ | 国产经典老电影 HD 国语彩色故事片 华语老电影📽.mp4,False,q:1080p;t:movie;p:周星驰;t:剧情;a:AAC;c:H264/AVC;s:watched
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/《鹿鼎记2神龙教主》4K（国粤双语）超清修复完整版 p01 鹿鼎记2神龙教主.mp4,False,q:1080p;a:AAC;c:H264/AVC;t:武侠;p:周星驰;p:林青霞;s:favorite
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/【鹿鼎记1  】4K 国语中字 周星驰 张敏 吴孟达 吴君如 刘松仁 邱淑贞 陈百祥 袁洁莹 温兆 p01 【鹿鼎记1  】4K 国语中字 周星驰 张敏 吴孟达 吴君如 刘松仁 邱淑贞 陈百祥 袁洁莹.mp4,False,q:1080p;c:HEVC;a:AAC;p:周星驰;t:movie;t:武侠;s:favorite;L:CH
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/國產凌凌漆 (1994) 周星馳 HD.mp4,False,t:movie;t:剧情;p:周星驰;q:720p;a:AAC;c:H264/AVC;s:favorite
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/國語（HD720P) 《整蠱專家Tricky Brains》 周星馳、劉德華、關之琳、邱淑貞 主演.mp4,False,t:movie;p:周星驰;a:AAC;c:H264/AVC;s:watched;L:CH;p:关之琳
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/大话西游-仙履奇缘A Chinese Odyssey Part Two - Cinderella | FULL MOVIE | Stephen Chow | Action Adventure [uSG.mp4,False,t:movie;t:魔幻;p:周星驰;L:CH;a:AAC;c:H264/AVC;s:favorite;q:1080p
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/大话西游-月光宝盒A Chinese Odyssey Part One - Pandora's Box | FULL MOVIE | Stephen Chow | Action Adventure [.mp4,False,t:movie;t:魔幻;p:周星驰;L:CH;a:AAC;c:H264/AVC;s:favorite;q:1080p
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/电影《唐伯虎点秋香》 国语中字【周星驰，巩俐，陈百祥，郑佩佩】1080HD高清.mp4,False,t:movie;t:剧情;p:周星驰;s:watched;a:AAC;c:H264/AVC;L:CH
/Volumes/iMac_HDD_Backup/Movies_library/02_Library/周星驰/算死草/周星馳 經典港味黑色喜劇 開埠香港 鬼才辯護｜算死草 (Lawyer Lawyer)｜莫文蔚｜葛民輝｜邱淑貞｜陳豪｜林保怡｜粵語中字｜MULTUSUB｜8號電影院 HK Movie｜美亞電影｜整人狀元.f399.mp4,False,t:movie;p:周星驰;t:剧情;c:AV1;s:watched;q:720p
